ticker,earnings_date,fiscal_quarter,fiscal_quarter_end
PLD,2016-02-19,2012Q4,2012-12-31
PLD,2016-02-19,2014Q1,2014-03-31
PLD,2016-02-19,2014Q2,2014-06-30
PLD,2016-02-19,2014Q3,2014-09-30
PLD,2017-02-15,2013Q4,2013-12-31
PLD,2017-02-15,2015Q1,2015-03-31
PLD,2017-02-15,2015Q2,2015-06-30
PLD,2017-02-15,2015Q3,2015-09-30
PLD,2018-02-15,2014Q4,2014-12-31
PLD,2018-02-15,2016Q1,2016-03-31
PLD,2018-02-15,2016Q2,2016-06-30
PLD,2018-02-15,2016Q3,2016-09-30
PLD,2019-02-13,2015Q4,2015-12-31
PLD,2019-02-13,2017Q1,2017-03-31
PLD,2019-02-13,2017Q2,2017-06-30
PLD,2019-02-13,2017Q3,2017-09-30
PLD,2020-02-11,2016Q4,2016-12-31
PLD,2020-02-11,2018Q1,2018-03-31
PLD,2020-02-11,2018Q2,2018-06-30
PLD,2020-02-11,2018Q3,2018-09-30
PLD,2021-02-11,2017Q4,2017-12-31
PLD,2021-02-11,2019Q1,2019-03-31
PLD,2021-02-11,2019Q2,2019-06-30
PLD,2021-02-11,2019Q3,2019-09-30
PLD,2022-02-09,2018Q4,2018-12-31
PLD,2022-02-09,2020Q1,2020-03-31
PLD,2022-02-09,2020Q2,2020-06-30
PLD,2022-02-09,2020Q3,2020-09-30
